Turn,Speaker,Utterance
209,F1:, .. 就 她 來 四 天 就 [[走 了 啊]]
209,F1:, .. 又 沒有
209,F1:, .. 又 沒 有待 很 久
210,F2:, [[對 啊]]
210,F2:, .. 我 想 請問 一下
210,F2:, .. 她 最近 過 的 怎樣
210,F2:, ... [[[我 看 她 msn 暱稱 好像 還 不 錯]]]
210,F2:, ... 甚麼 換 一 顆 快樂 的 心
210,F2:, .. 看見 快樂 的 世界
210,F2:, .. 還是 甚 麼鬼 的
210,F2:, .. 看起來 還蠻 快樂 的 啊
211,F1:, [[[我 今天 才 問 學姐]]]
211,F1:, .. 那 是 因為
211,F1:, .. 她 還沒 有 寫 論文
211,F1:, ... [@@@]
212,F2:, [@@@]
212,F2:, .. 她 不是
212,F2:, .. 應該 要 嗎
213,F1:, .. 那 是 因為 她 還沒 開始
214,F2:, .. 那
214,F2:, .. 那 就
214,F2:, .. 就
214,F2:, .. 回去 教
214,F2:, .. 應該 還 不 錯 吧
214,F2:, .. 她 有 接班嗎
215,F1:, .. 有 啊
216,F2:, .. 國 一 喔
217,F1:, .. 二 吧
218,F2:, .. 從國 二 開 始接
219,F1:, .. 好像 就是
219,F1:, .. 她 有
219,F1:, .. 同事
219,F1:, .. 之前 有 幫 她
219,F1:, .. 就是 她 回來
220,F2:, .. um
221,F1:, .. 然後 有 幫 她
221,F1:, .. 就是 那 個 啊
221,F1:, .. 她 這次 就 等於
221,F1:, .. 回
221,F1:, .. 回
221,F1:, .. 回幫 就 對 了
222,F2:, .. 所以 是 換 她 那 個 同事 要
222,F2:, ... [[留]]
223,F1:, [[也 是]] 留職 停薪
224,F2:, .. 喔
225,F1:, .. 對 啊
225,F1:, .. 然後 她 好像 去
225,F1:, .. 去 接著
225,F1:, .. 她 的 班 啊
225,F1:, .. 應該 這 樣沒 關係 吧
226,F2:, .. 不 知道 啊
227,F1:, .. 對 啊
227,F1:, .. 因為 後母 班
227,F1:, .. 總 是 會比較
228,F2:, .. 想 當初
228,F2:, .. 我 也 是 把 我 自己 的 班
228,F2:, .. 丟給 別人 @@@
229,F1:, .. 對 啊
229,F1:, ... 像 現 在
229,F1:, .. 我 覺得 後母 班 比較 難帶 是 說
229,F1:, ... 之前 老師 的 一些 規定
229,F1:, .. 他們 都 已 經 都
230,F2:, .. 而且 要 重新 磨合 啊
230,F2:, .. 等到 你
230,F2:, .. 因為 大概 磨合
230,F2:, .. 要 磨合 一 年
230,F2:, .. 但 [是]
231,F1:, [啊] 差不多 就要 畢業 啦
231,F1:, .. 因為 [[如果 二 年 級]] 的 話
231,F1:, .. 就 差不多 要 畢業 了
232,F2:, [[對 啊]]然 後
232,F2:, .. um
232,F2:, .. 沒錯
232,F2:, .. 而且 人家 之前 重新 建立 起來 的 制度
232,F2:, .. 或是 怎麼 樣
232,F2:, .. 這 種事 比 較難
232,F2:, .. 改變
233,F1:, .. um
233,F1:, .. 但是 如果
233,F1:, ... 我 是 說
233,F1:, .. 如果 學生 的 素質 還 不 錯
233,F1:, .. 應該 還好
234,F2:, .. 常 態分 班 很 難講 啊
234,F2:, ... 有
234,F2:, .. ­ 可能 就是
234,F2:, .. 呈現 雙峰化
234,F2:, .. 素質 很 好 跟 素質 很 差
234,F2:, .. 大概 就是 這樣
235,F1:, .. 對 啊
235,F1:, .. 那
235,F1:, ... 我 是 覺得
235,F1:, .. 像
235,F1:, .. 如果 你
235,F1:, .. 那 一般 比較 後面 的 那 種 學校 的 話
235,F1:, .. 就
235,F1:, ... 素質 不是 很 好
236,F2:, .. 以前 [我 們班 就 這樣 啊]
237,F1:, [然 後管 到]受 不 了
238,F2:, .. 我 們班 常態 的 啊
238,F2:, .. [[但是 就是]]
238,F2:, .. 有 非常 非常 好的
238,F2:, .. 也 有
238,F2:, ... 總 之
238,F2:, .. 就是 沒辦法 的
238,F2:, .. 對 啊
239,F1:, [[um]]
239,F1:, .. 因為 不 能 為 了 那 個
239,F1:, .. 遷 就 某 一 個 人
240,F2:, ... 就 不行 啊
240,F2:, .. 所以 就 很 難帶
240,F2:, .. 帶常 態 就是 這樣
240,F2:, ... 你 就是 要
240,F2:, .. 有 非常 多 的 手段
241,F1:, .. um
242,F2:, .. 適應 每 一 種
242,F2:, .. 甚麼 上 中下 的 學生
242,F2:, .. 全部 都 要 適應
243,F1:, .. 那 這樣
243,F1:, ... 對 啊
243,F1:, .. 就是 要 會 比較 辛苦
243,F1:, .. 我 是 知道
243,F1:, .. 如果 是 你 帶到 那種 比較 後面 的
243,F1:, .. 那 學生
243,F1:, .. 素質 參差 比 較 不 齊
